

gen best mean std
0 18.532508 -5.445801 4.373159
1 36.721417 -0.732719 7.421264
2 36.721417 3.952969 7.997445
3 43.250952 8.111677 8.022142
4 43.247415 10.195089 8.229925
5 36.721417 10.764189 7.983105
6 34.804519 11.579416 7.801547
7 39.682821 12.196624 7.983584
8 34.804519 13.107272 7.50389
9 35.25304 14.127278 7.860767
10 34.804519 14.343567 7.820683
11 31.524075 14.423332 7.804048
12 40.084198 15.291524 7.855496
13 32.583592 14.568803 9.096892
14 31.524075 14.702542 8.756699
