

gen best mean std
0 56.166343 -3.940646 9.349803
1 49.285121 3.746011 13.815317
2 49.28477 10.68087 15.439353
3 34.893814 9.89935 15.339736
4 42.007846 7.676003 15.86492
5 70.326516 13.1791 17.850622
6 56.674662 8.025662 15.37387
7 56.725704 11.636987 17.382596
8 63.236138 9.357792 17.155975
9 70.672825 7.796162 17.257042
10 63.794024 10.588874 17.862554
11 49.381206 7.60159 17.012349
12 49.269398 9.797743 17.076256
13 63.805845 5.881874 17.033669
14 70.811905 7.542276 17.309252
15 44.691048 6.916863 16.327091
16 73.023663 11.52902 18.27756
17 63.307523 10.317888 18.634391
18 70.818159 9.021751 17.592097
19 70.614069 11.803811 18.032771
20 70.428912 11.201156 19.223665
21 70.640066 15.204019 19.197529
22 49.398425 10.158637 17.745883
23 63.474462 9.027797 18.191289
24 70.964003 13.869867 18.069604
25 49.136999 13.767298 17.244163
26 56.512574 12.792555 18.267326
27 78.164847 11.3726 19.512471
28 70.989746 11.935016 17.723197
29 57.075956 7.26904 17.097202
30 55.960906 7.775112 17.071276
31 56.485213 11.25102 17.033958
32 55.921753 12.606073 18.232989
33 56.364493 7.332872 17.576167
34 70.960333 14.120064 20.788602
35 56.852801 10.423529 18.213484
36 70.973606 10.636793 18.778247
37 62.857097 11.579238 18.283743
38 70.80329 10.980939 19.717964
39 63.828307 12.756486 20.078335
40 70.31106 12.744564 17.770819
41 63.570567 7.899816 17.249696
42 56.59285 15.067085 18.627854
43 70.360441 14.696342 17.534373
44 49.551259 10.218161 17.408529
45 49.180616 12.413436 17.438182
46 70.074687 13.80699 19.278701
47 56.177428 15.102403 18.588687
48 63.402575 13.042791 18.444279
49 70.892901 12.726543 18.872195
