

gen best mean std
0 18.032995 -4.232605 6.196303
1 32.529034 1.917506 7.513586
2 53.249616 7.108985 7.852575
3 53.249706 9.960148 8.359027
4 56.213394 13.23316 10.321925
5 56.200307 16.834379 11.361959
6 56.228161 21.403191 11.76234
7 56.228161 24.11788 11.461379
8 56.269766 27.29315 10.803862
9 56.232831 29.207306 10.575689
10 56.256089 31.47938 10.492787
11 56.23668 32.461542 10.841745
12 56.221833 33.252718 10.544445
13 56.200307 33.411981 10.523435
14 55.265624 32.394457 11.630971
